"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5126","TC #4. Verify deleting the product from the cart","","Mon Nov 17 21:35:42 EET 2025","passed","Mon Nov 17 21:35:47 EET 2025","","tests.spec.js","",""
"","1868","Verify the Buy Now functionality","","Mon Nov 17 21:33:30 EET 2025","failed","Mon Nov 17 21:33:32 EET 2025","","tests.spec.js","",""
"","2934","TC #3. Verify navigation to the Your order page as unauthorized user","","Tue Nov 18 22:18:13 EET 2025","passed","Tue Nov 18 22:18:16 EET 2025","","tests.spec.js","",""
"","2618","TC #1. Verify adding the Redmine to the cart","","Mon Nov 17 21:35:33 EET 2025","passed","Mon Nov 17 21:35:35 EET 2025","","tests.spec.js","",""
"","6351","TC #5. Verify navigation to the Project Management","","Tue Nov 18 22:12:59 EET 2025","failed","Tue Nov 18 22:13:06 EET 2025","","tests.spec.js","",""
"","3934","TC #2. Verify the Buy Now functionality","","Mon Nov 17 21:35:35 EET 2025","passed","Mon Nov 17 21:35:39 EET 2025","","tests.spec.js","",""
"","1335","Verify navigation to the Project Management","","Mon Nov 17 21:33:46 EET 2025","failed","Mon Nov 17 21:33:47 EET 2025","","tests.spec.js","",""
"","1279","Verify deleting the product from the cart","","Mon Nov 17 21:33:41 EET 2025","failed","Mon Nov 17 21:33:42 EET 2025","","tests.spec.js","",""
"","1265","Verify adding the Redmine to the cart","","Mon Nov 17 21:33:25 EET 2025","failed","Mon Nov 17 21:33:26 EET 2025","","tests.spec.js","",""
"","32570","TC #6. Verify searching the information","","Tue Nov 18 22:56:10 EET 2025","passed","Tue Nov 18 22:56:42 EET 2025","","tests.spec.js","",""
"","1353","Verify navigation to the Your order page as unauthorized user","","Mon Nov 17 21:33:35 EET 2025","failed","Mon Nov 17 21:33:37 EET 2025","","tests.spec.js","",""
